experiment,source,target,base,arm,k,draw_seed,auc,fold_auc,fold_gap,fold_diverged
few-label,target-only,COAD,target-only,cold,10,5,0.7272998550601075,0.7602069584944461,0.03290710343433856,True
few-label,UCEC,COAD,single,warm,10,5,0.7691192770057124,0.7488261358524516,0.020293141153260752,True
few-label,target-only,COAD,target-only,cold,10,6,0.7122090544803479,0.7156613128127527,0.0034522583324048117,False
few-label,UCEC,COAD,single,warm,10,6,0.7757694603120471,0.7616696827943104,0.014099777517736722,True
few-label,target-only,COAD,target-only,cold,10,7,0.7384261232841675,0.7435985694764244,0.005172446192256985,False
few-label,UCEC,COAD,single,warm,10,7,0.7722312217580356,0.7529970632919987,0.019234158466036932,True
few-label,target-only,COAD,target-only,cold,10,8,0.662417938443175,0.6688391273296934,0.006421188886518436,False
few-label,UCEC,COAD,single,warm,10,8,0.7455026003921904,0.7217119006999841,0.023790699692206263,True
few-label,target-only,COAD,target-only,cold,10,9,0.6880808253048001,0.7108013423738349,0.022720517069034774,True
few-label,UCEC,COAD,single,warm,10,9,0.7546679171284849,0.744974617846018,0.009693299282466872,False
few-label,target-only,COAD,target-only,cold,10,10,0.6208969221587518,0.6734873274138418,0.052590405255089956,True
few-label,UCEC,COAD,single,warm,10,10,0.7187739790263449,0.7161967679236796,0.002577211102665289,False
few-label,target-only,COAD,target-only,cold,10,11,0.7218432943984994,0.7301207827260459,0.00827748832754649,False
few-label,UCEC,COAD,single,warm,10,11,0.755094210930173,0.7548380184859828,0.0002561924441902841,False
few-label,target-only,COAD,target-only,cold,10,12,0.7034274021655725,0.7225629173320336,0.01913551516646106,True
few-label,UCEC,COAD,single,warm,10,12,0.774661096427658,0.7780305153304161,0.0033694189027581034,False
few-label,target-only,COAD,target-only,cold,10,13,0.7106743967942706,0.7308309083060822,0.020156511511811637,True
few-label,UCEC,COAD,single,warm,10,13,0.7740216557251258,0.7742339605666319,0.00021230484150602802,False
few-label,target-only,COAD,target-only,cold,10,14,0.6168897604228836,0.7045556501316184,0.08766588970873479,True
few-label,UCEC,COAD,single,warm,10,14,0.7307528348537813,0.7476049666983132,0.016852131844531937,True
few-label,target-only,COAD,target-only,cold,10,15,0.7231648051837326,0.7348737743002888,0.011708969116556167,True
few-label,UCEC,COAD,single,warm,10,15,0.7677125074601415,0.7395556695318364,0.028156837928305145,True
few-label,target-only,COAD,target-only,cold,10,16,0.5909710972802455,0.597859429051584,0.006888331771338407,False
few-label,UCEC,COAD,single,warm,10,16,0.6980561002643022,0.6948159119375604,0.0032401883267417775,False
few-label,target-only,COAD,target-only,cold,10,17,0.705132577372325,0.7171419726141672,0.012009395241842191,True
few-label,UCEC,COAD,single,warm,10,17,0.7272145962997698,0.732410387361728,0.0051957910619582215,False
few-label,target-only,COAD,target-only,cold,10,18,0.6639952255094211,0.7411494562482647,0.07715423073884353,True
few-label,UCEC,COAD,single,warm,10,18,0.7511723079546424,0.7593988108878873,0.008226502933244895,False
few-label,target-only,COAD,target-only,cold,10,19,0.630403273936397,0.6593345379656204,0.028931264029223414,True
few-label,UCEC,COAD,single,warm,10,19,0.7259783442748743,0.7215355599933553,0.004442784281519008,False
few-label,target-only,COAD,target-only,cold,25,0,0.6992923522891977,0.6970127562495984,0.002279596039599374,False
few-label,UCEC,COAD,single,warm,25,0,0.7609770653934692,0.7556452742887698,0.0053317911046993904,False
few-label,target-only,COAD,target-only,cold,25,1,0.7195839372495524,0.7212715824394077,0.0016876451898553135,False
few-label,UCEC,COAD,single,warm,25,1,0.7740216557251258,0.771091840632059,0.002929815093066779,False
few-label,target-only,COAD,target-only,cold,25,2,0.735569954812857,0.7465021382677788,0.010932183454921751,True
few-label,UCEC,COAD,single,warm,25,2,0.8033506692812686,0.7907922345777362,0.012558434703532462,True
few-label,target-only,COAD,target-only,cold,25,3,0.6775087390229346,0.71004442892427,0.032535689901335374,True
few-label,UCEC,COAD,single,warm,25,3,0.7549236934094977,0.7598121967958115,0.004888503386313747,False
few-label,target-only,COAD,target-only,cold,25,4,0.7082018927444795,0.7071890508807093,0.001012841863770264,False
few-label,UCEC,COAD,single,warm,25,4,0.7450336772103334,0.7435697734903296,0.001463903720003823,False
few-label,target-only,COAD,target-only,cold,25,5,0.7499360559297469,0.7569027958139178,0.006966739884170958,False
few-label,UCEC,COAD,single,warm,25,5,0.763065905021741,0.7778459186185105,0.014780013596769503,True
few-label,target-only,COAD,target-only,cold,25,6,0.6376076391849262,0.65824464159916,0.02063700241423372,True
few-label,UCEC,COAD,single,warm,25,6,0.7299855060107426,0.7204320270924045,0.009553478918338132,False
few-label,target-only,COAD,target-only,cold,25,7,0.7412822917554779,0.7433772433017716,0.0020949515462936885,False
few-label,UCEC,COAD,single,warm,25,7,0.7325432688208713,0.7413289907157831,0.00878572189491178,False
few-label,target-only,COAD,target-only,cold,25,8,0.7243584278284593,0.7448480702239391,0.02048964239547979,True
few-label,UCEC,COAD,single,warm,25,8,0.7344189615482991,0.7435292652288681,0.009110303680568976,False
few-label,target-only,COAD,target-only,cold,25,9,0.6836899991474125,0.7085331719477697,0.024843172800357194,True
few-label,UCEC,COAD,single,warm,25,9,0.7610623241538068,0.7491861741921325,0.011876149961674298,True
few-label,target-only,COAD,target-only,cold,25,10,0.7065393469178958,0.7122951555230601,0.0057558086051643365,False
few-label,UCEC,COAD,single,warm,25,10,0.7388097877056867,0.7279145499210047,0.010895237784682044,True
few-label,target-only,COAD,target-only,cold,25,11,0.7088839628271805,0.7333475706683253,0.024463607841144874,True
few-label,UCEC,COAD,single,warm,25,11,0.7773467473782931,0.7595415419293274,0.01780520544896569,True
few-label,target-only,COAD,target-only,cold,25,12,0.6610537982777731,0.6821472343170456,0.021093436039272495,True
few-label,UCEC,COAD,single,warm,25,12,0.7470372580782675,0.7577633609907691,0.010726102912501645,True
few-label,target-only,COAD,target-only,cold,25,13,0.6065734504220308,0.6345894980557345,0.02801604763370369,True
few-label,UCEC,COAD,single,warm,25,13,0.7050046892318185,0.6961468457064285,0.008857843525389986,False
few-label,target-only,COAD,target-only,cold,25,14,0.667192429022082,0.6822489302598538,0.015056501237771802,True
few-label,UCEC,COAD,single,warm,25,14,0.7345042203086368,0.742168838884827,0.007664618576190163,False
few-label,target-only,COAD,target-only,cold,25,15,0.7099923267115696,0.7525678298309877,0.042575503119418046,True
few-label,UCEC,COAD,single,warm,25,15,0.7497229090289027,0.7478725144986317,0.0018503945302710267,False
few-label,target-only,COAD,target-only,cold,25,16,0.7281950720436525,0.7247205816912867,0.0034744903523658,False
few-label,UCEC,COAD,single,warm,25,16,0.731946457498508,0.7324524785597278,0.0005060210612198857,False
few-label,target-only,COAD,target-only,cold,25,17,0.7657515559723762,0.7760059934548513,0.01025443748247512,True
few-label,UCEC,COAD,single,warm,25,17,0.792821212379572,0.7926935972005487,0.00012761517902337705,False
few-label,target-only,COAD,target-only,cold,25,18,0.6486486486486486,0.6618151529040308,0.013166504255382239,True
few-label,UCEC,COAD,single,warm,25,18,0.7431579844829055,0.7463811530519575,0.003223168569052026,False
few-label,target-only,COAD,target-only,cold,25,19,0.7278966663824709,0.7219843664555681,0.0059122999269027865,False
few-label,UCEC,COAD,single,warm,25,19,0.7371472418791032,0.7429245349707118,0.005777293091608571,False
few-label,target-only,COAD,target-only,cold,40,0,0.6999317929917299,0.717643213621863,0.01771142063013309,True
few-label,UCEC,COAD,single,warm,40,0,0.7583766732031716,0.7498459877317871,0.00853068547138447,False
few-label,target-only,COAD,target-only,cold,40,1,0.7190297553073579,0.7297026855964293,0.010672930289071347,True
few-label,UCEC,COAD,single,warm,40,1,0.7465683348964106,0.7492217372167719,0.0026534023203612644,False
few-label,target-only,COAD,target-only,cold,40,2,0.6996333873305483,0.7236424618634152,0.024009074532866936,True
few-label,UCEC,COAD,single,warm,40,2,0.7569699036576009,0.7576910339467441,0.0007211302891432236,False
few-label,target-only,COAD,target-only,cold,40,3,0.6695796743115354,0.7010185987465034,0.031438924434967985,True
few-label,UCEC,COAD,single,warm,40,3,0.7320743456390143,0.7233309010310003,0.008743444608014017,False
few-label,target-only,COAD,target-only,cold,40,4,0.6870150908005798,0.7053373600910839,0.01832226929050418,True
few-label,UCEC,COAD,single,warm,40,4,0.730582317333106,0.7307676072134861,0.00018528988038013505,False
few-label,target-only,COAD,target-only,cold,40,5,0.6945178617102907,0.7102544393155118,0.01573657760522107,True
few-label,UCEC,COAD,single,warm,40,5,0.7161735868360474,0.7193116026641349,0.0031380158280874815,False
few-label,target-only,COAD,target-only,cold,40,6,0.6818569358001535,0.6890524042326425,0.007195468432488972,False
few-label,UCEC,COAD,single,warm,40,6,0.6990365760081848,0.7090276604670845,0.009991084458899735,False
few-label,target-only,COAD,target-only,cold,40,7,0.7295592122090545,0.7341784080423605,0.004619195833305945,False
few-label,UCEC,COAD,single,warm,40,7,0.7625117230795464,0.7460819253018857,0.016429797777660737,True
few-label,target-only,COAD,target-only,cold,40,8,0.6864609088583852,0.686049215928064,0.0004116929303211725,False
few-label,UCEC,COAD,single,warm,40,8,0.7329269332423907,0.738194399278312,0.00526746603592132,False
few-label,target-only,COAD,target-only,cold,40,9,0.677210333361753,0.6682679000355267,0.00894243332622624,False
few-label,UCEC,COAD,single,warm,40,9,0.7257651973740302,0.7153246893236963,0.010440508050333919,True
few-label,target-only,COAD,target-only,cold,40,10,0.6952425611731606,0.7229660429496578,0.027723481776497194,True
few-label,UCEC,COAD,single,warm,40,10,0.7367635774575838,0.7369916288059286,0.00022805134834480434,False
few-label,target-only,COAD,target-only,cold,40,11,0.683988404808594,0.6975713612769223,0.0135829564683283,True
few-label,UCEC,COAD,single,warm,40,11,0.7011680450166254,0.707511468560128,0.006343423543502591,False
few-label,target-only,COAD,target-only,cold,40,12,0.7030437377440533,0.7281323961815521,0.025088658437498856,True
few-label,UCEC,COAD,single,warm,40,12,0.753730070764771,0.7491513035127733,0.004578767251997795,False
few-label,target-only,COAD,target-only,cold,40,13,0.6697928212123796,0.6970693115226382,0.027276490310258583,True
few-label,UCEC,COAD,single,warm,40,13,0.7311364992753006,0.7388351163346198,0.00769861705931929,False
few-label,target-only,COAD,target-only,cold,40,14,0.6446414869127803,0.6636819855638129,0.019040498651032522,True
few-label,UCEC,COAD,single,warm,40,14,0.7212038536959673,0.7149151325338019,0.006288721162165389,False
few-label,target-only,COAD,target-only,cold,40,15,0.696052519396368,0.705825535658207,0.009773016261839018,False
few-label,UCEC,COAD,single,warm,40,15,0.7536448120044335,0.7503037661885725,0.0033410458158609213,False
few-label,target-only,COAD,target-only,cold,40,16,0.7117827606786596,0.7241248149401078,0.012342054261448188,True
few-label,UCEC,COAD,single,warm,40,16,0.7501492028305908,0.7385373623948599,0.011611840435730936,True
few-label,target-only,COAD,target-only,cold,40,17,0.6844999573706197,0.6871311933680355,0.0026312359974157706,False
few-label,UCEC,COAD,single,warm,40,17,0.723292693324239,0.7190735916957367,0.004219101628502253,False
few-label,target-only,COAD,target-only,cold,40,18,0.6855230624946713,0.6883408278800534,0.0028177653853820317,False
few-label,UCEC,COAD,single,warm,40,18,0.74443686588797,0.7508368326476569,0.006399966759686904,False
few-label,target-only,COAD,target-only,cold,40,19,0.7438400545656065,0.7583410200634629,0.0145009654978564,True
