budget,target_share,draw_seed,raw_auc,rank_auc,rank_gap,rank_diverged
200,10,0,0.7703566274994845,0.7603586889301175,0.009997938569367038,False
200,10,1,0.7495361781076066,0.775974025974026,0.02643784786641934,True
200,10,2,0.7548958977530406,0.746907854050711,0.007988043702329528,False
200,10,3,0.7740156668728098,0.7644557823129252,0.009559884559884546,False
200,10,4,0.7750463821892393,0.80849309420738,0.033446712018140756,True
200,10,5,0.7549474335188621,0.7581941867656152,0.0032467532467531646,False
200,10,6,0.7620593692022264,0.7633992991135847,0.0013399299113583396,False
200,10,7,0.7120696763553906,0.7202123273551845,0.008142650999793832,False
200,10,8,0.7733457019171305,0.7710265924551638,0.002319109461966673,False
200,10,9,0.756441970727685,0.7489435168006596,0.007498453927025417,False
200,10,10,0.7607194392908678,0.7441506905792621,0.01656874871160574,True
200,10,11,0.8016903731189445,0.7997320140177283,0.0019583591012162227,False
200,10,12,0.8348278705421561,0.8326118326118326,0.0022160379303235445,False
200,10,13,0.7778808493094207,0.79004329004329,0.012162440733869295,True
200,10,14,0.7893733250876108,0.782905586477015,0.006467738610595797,False
200,10,15,0.7695835910121624,0.7841424448567305,0.01455885384456801,True
200,10,16,0.7721603793032364,0.7667748917748918,0.005385487528344668,False
200,10,17,0.7412904555761699,0.7429396000824571,0.0016491445062871701,False
200,10,18,0.7068130282415996,0.7262935477221192,0.019480519480519543,True
200,10,19,0.7692228406514121,0.8073593073593073,0.03813646670789517,True
200,20,0,0.7871572871572872,0.7794269222840651,0.007730364873222095,False
200,20,1,0.7891156462585034,0.8035971964543392,0.014481550195835857,True
200,20,2,0.7716965574108431,0.766852195423624,0.004844361987219048,False
200,20,3,0.7940630797773656,0.7711811997526282,0.022881880024737344,True
200,20,4,0.786384250669965,0.8036487322201608,0.017264481550195776,True
200,20,5,0.8045248402391258,0.8065862708719851,0.0020614306328592402,False
200,20,6,0.7882395382395383,0.7945784374355802,0.006338899196041914,False
200,20,7,0.7633477633477633,0.7661822304679448,0.0028344671201814275,False
200,20,8,0.8178726035868893,0.8044217687074829,0.013450834879406348,True
200,20,9,0.7772108843537414,0.7797103689960831,0.0024994846423417316,False
200,20,10,0.7871057513914657,0.7808441558441557,0.006261595547309984,False
200,20,11,0.8078746650175221,0.8074108431251288,0.0004638218923933568,False
200,20,12,0.8265821480107194,0.8329725829725829,0.006390434961863534,False
200,20,13,0.8062255205112348,0.812641723356009,0.006416202844774288,False
200,20,14,0.7653061224489796,0.7589414553700267,0.00636466707895289,False
200,20,15,0.7876726448155019,0.7989847454133169,0.011312100597814956,True
200,20,16,0.7776231704803133,0.7747113997113997,0.0029117707689135797,False
200,20,17,0.7402082044939188,0.7400535971964544,0.00015460729746441526,False
200,20,18,0.744743351886209,0.7684498041640898,0.02370645227788082,True
200,20,19,0.7654091939806226,0.8071273964131107,0.04171820243248814,True
200,30,0,0.8177695320552464,0.8161976911976913,0.001571840857555129,False
200,30,1,0.8363739435168006,0.8376881055452483,0.0013141620284476963,False
200,30,2,0.8027726242011956,0.8017934446505874,0.0009791795506081113,False
200,30,3,0.8221500721500722,0.7952741702741702,0.026875901875901942,True
200,30,4,0.8009173366316222,0.8146773861059575,0.01376004947433529,True
200,30,5,0.799268192125335,0.8021541950113379,0.0028860028860029363,False
200,30,6,0.8196248196248197,0.8274324881467738,0.007807668521954136,False
200,30,7,0.8076685219542362,0.8196248196248196,0.011956297670583371,True
200,30,8,0.8110698824984539,0.8045506081220367,0.0065192743764171945,False
200,30,9,0.7872088229231087,0.8108895073180786,0.023680684394969953,True
200,30,10,0.7878272521129663,0.7865903937332508,0.0012368583797155441,False
200,30,11,0.8207586064728922,0.8303442589156874,0.00958565244279519,False
200,30,12,0.8315295815295816,0.8335910121624407,0.002061430632859129,False
200,30,13,0.7848381776953205,0.8013296227581941,0.01649144506287359,True
200,30,14,0.7994227994227993,0.7969233147804577,0.0024994846423415096,False
200,30,15,0.8159142444856731,0.8131828488971347,0.00273139558853841,False
200,30,16,0.8100391671820244,0.8149608328179757,0.004921665635951311,False
200,30,17,0.7599979385693671,0.7587610801896516,0.0012368583797155441,False
200,30,18,0.7968460111317254,0.8041640898783754,0.007318078746650025,False
200,30,19,0.7852504638218923,0.8087250051535766,0.02347454133168425,True
200,40,0,0.818387961245104,0.8154504225932797,0.002937538651824334,False
200,40,1,0.852195423623995,0.8618583797155226,0.009662956091527564,False
200,40,2,0.8144197072768501,0.8117398474541331,0.0026798598227170123,False
200,40,3,0.7929292929292929,0.7865130900845185,0.006416202844774399,False
200,40,4,0.783498247783962,0.7942949907235621,0.01079674293960009,True
