permutation,null_mean_lift
520,-0.12259843331271902
521,-0.1356936714079571
522,-0.1773809523809524
523,-0.1592068645640074
524,-0.16314935064935066
525,-0.26564110492681925
526,-0.20417697381983096
527,-0.059013605442176834
528,-0.16608173572459287
529,-0.10132189239332094
530,-0.10514326942898373
531,-0.0699649556792414
532,-0.16969954648526075
533,-0.06848845598845596
534,-0.1307256235827664
535,-0.10196351267779838
536,-0.12178416821273963
537,-0.038303957946815084
538,-0.12746340960626673
539,-0.14210214388785816
540,-0.08196505875077306
541,-0.15058493094207379
542,-0.1553983714698
543,-0.27005772005772005
544,-0.11238662131519273
545,-0.11575706039991755
546,-0.11027107812822098
547,-0.14377447948876518
548,-0.16408987837559266
549,-0.04920892599464028
550,-0.1641079158936302
551,-0.19211245104102243
552,-0.1367553081838796
553,-0.15390125747268604
554,-0.15441146155431867
555,-0.1349335188620903
556,-0.19865749330035043
557,-0.10285765821480104
558,-0.1528937332508761
559,-0.15374922696351262
560,-0.10837198515769944
561,-0.16733405483405484
562,-0.10386775922490207
563,-0.08830138115852401
564,-0.12121727478870337
565,-0.07215780251494536
566,-0.07413419913419914
567,-0.14776077097505666
568,-0.16059575345289628
569,-0.11559472273757987
570,-0.10208462172747886
571,-0.09350133992991136
572,-0.171379612451041
573,-0.14959544423830134
574,-0.149721706864564
575,-0.09813955885384455
576,-0.12231756338899194
577,-0.140179859822717
578,-0.1433286951144094
579,-0.16227839620696763
580,-0.07140795712224283
581,-0.059863945578231284
582,-0.1502679859822717
583,-0.14695681302824157
584,-0.16407699443413729
585,-0.18798958977530406
586,-0.11976138940424652
587,-0.04896928468357037
588,-0.11494279529993814
589,-0.09042465471036898
590,-0.10907029478458048
591,-0.10460987425273138
592,-0.19038084930942076
593,-0.18037002679859823
594,-0.19606782106782103
595,-0.10852143887858172
596,-0.09273603380746237
597,-0.06982838589981447
598,-0.07612863327149041
599,-0.21563337456194595
600,-0.12653318903318903
601,-0.1680864770150484
602,-0.14141929499072353
603,-0.10810399917542772
604,-0.16489898989898993
605,-0.1264661925376211
606,-0.10132189239332097
607,-0.13849979385693673
608,-0.1740981240981241
609,-0.13063543599257882
610,-0.08475314368171512
611,-0.16961451247165532
612,-0.18615491651205943
613,-0.22791950113378684
614,-0.14459905174190887
615,-0.08314265099979386
616,-0.08974438260152544
617,-0.16696042053184906
618,-0.14019016697588124
619,-0.15547825190682332
620,-0.2180040197897341
621,-0.14395743145743145
622,-0.09423057101628529
623,-0.15459183673469387
624,-0.08597196454339309
625,-0.19398577612863324
626,-0.1480107194392909
627,-0.12229694908266334
628,-0.10415120593692022
629,-0.10765821480107193
630,-0.2275587507730365
631,-0.1841991341991342
632,-0.1664785611214182
633,-0.13669604205318492
634,-0.07120696763553905
635,-0.08448000412286125
636,-0.20303545660688513
637,-0.17341527520098948
638,-0.09478715728715728
639,-0.2150175221603793
640,-0.09096578025149453
641,-0.2047258297258297
642,-0.16455112347969492
643,-0.1239280560709132
644,-0.14949237270665844
645,-0.20680787466501754
646,-0.16185322613894043
647,-0.19294475365903935
648,-0.11319830962688102
649,-0.05510977118119973
650,-0.07592506699649555
651,-0.08113275613275614
652,-0.10488816738816738
653,-0.14389043496186352
654,-0.09910327767470625
655,-0.10599360956503814
656,-0.11264172335600905
657,-0.1397469593898165
658,-0.16396361574933005
659,-0.09927592249020818
660,-0.1702123273551845
661,-0.06855802927231498
662,-0.17001906823335394
663,-0.14482065553494125
664,-0.1694599051741909
665,-0.14356833642547925
666,-0.1829210472067615
667,-0.13496959389816532
668,-0.1609152752009895
669,-0.043315811172954
670,-0.10271851164708301
671,-0.14087559266130695
672,-0.15918109668109667
673,-0.09060502989074415
674,-0.10883065347351059
675,-0.14833024118738403
676,-0.14777107812822093
677,-0.16738043702329414
678,-0.12389455782312923
679,-0.07759740259740258
680,-0.06640383426097711
681,-0.09955679241393528
682,-0.18537157287157285
683,-0.11449443413729125
684,-0.20474386724386723
685,-0.12765924551638838
686,-0.12638373531230668
687,-0.06834157905586473
688,-0.14552927231498658
689,-0.03902288188002472
690,-0.1663832199546485
691,-0.1935554524840239
692,-0.17300298907441763
693,-0.14550092764378478
694,-0.15338589981447123
695,-0.1659193980622552
696,-0.10077045969903112
697,-0.1770408163265306
698,-0.1602659245516388
699,-0.10885899814471238
700,-0.10660688517831376
701,-0.14968820861678003
702,-0.1706658420944135
